Coin,Execution Price,Size Tokens,Size USD,Side,Start Position,Closed PnL,Crossed,Fee,Timestamp,Date,Direction_num,Profit_flag,sentiment_num
BTC,92974.0,0.00538,500.2,0,-1.70117,0.0,True,0.17507,2025-04-23 04:37:00,2025-04-23,-1,0,1
BTC,92973.0,0.00015,13.95,0,-1.70655,0.0,True,0.004881,2025-04-23 04:37:00,2025-04-23,-1,0,1
BTC,92973.0,0.04299,3996.91,0,-1.7067,0.0,True,1.398918,2025-04-23 04:37:00,2025-04-23,-1,0,1
BTC,92984.0,0.04555,4235.42,0,-1.74969,0.0,True,1.482397,2025-04-23 04:37:00,2025-04-23,-1,0,1
BTC,92984.0,0.01419,1319.44,0,-1.79524,0.0,True,0.461805,2025-04-23 04:37:00,2025-04-23,-1,0,1
BTC,92984.0,0.05974,5554.86,0,-1.80943,0.0,True,1.944202,2025-04-23 04:37:00,2025-04-23,-1,0,1
BTC,92980.0,0.05974,5554.63,0,-1.86917,0.0,True,1.944118,2025-04-23 04:37:00,2025-04-23,-1,0,1
BTC,93000.0,0.00596,554.28,1,-1.92891,-13.020216,False,0.055428,2025-04-23 04:39:00,2025-04-23,0,0,1
BTC,92975.0,0.00014,13.02,1,-1.92295,-0.302344,False,0.001301,2025-04-23 04:39:00,2025-04-23,0,0,1
BTC,92975.0,0.00016,14.88,1,-1.92281,-0.345536,False,0.001487,2025-04-23 04:39:00,2025-04-23,0,0,1
BTC,92975.0,0.00012,11.16,1,-1.92265,-0.259152,False,0.001115,2025-04-23 04:39:00,2025-04-23,0,0,1
BTC,92975.0,0.00554,515.08,1,-1.92253,-11.964184,False,0.051508,2025-04-23 04:39:00,2025-04-23,0,0,1
BTC,93106.0,0.01193,1110.75,0,-1.91699,0.0,True,0.388764,2025-04-23 04:41:00,2025-04-23,-1,0,1
BTC,93137.0,0.00595,554.17,0,-1.92892,0.0,True,0.193957,2025-04-23 04:41:00,2025-04-23,-1,0,1
BTC,93000.0,0.00596,554.28,1,-1.93487,-12.893864,False,0.055428,2025-04-23 04:48:00,2025-04-23,0,0,1
BTC,92975.0,0.00596,554.13,1,-1.92891,-12.744864,False,0.055413,2025-04-23 04:48:00,2025-04-23,0,0,1
BTC,92950.0,0.00597,554.91,1,-1.92295,-12.616998,False,0.055491,2025-04-23 04:48:00,2025-04-23,0,0,1
BTC,92925.0,0.00597,554.76,1,-1.91698,-12.467748,False,0.055476,2025-04-23 04:48:00,2025-04-23,0,0,1
BTC,92900.0,0.00597,554.61,1,-1.91101,-12.318498,False,0.055461,2025-04-23 04:48:00,2025-04-23,0,0,1
BTC,92875.0,0.00597,554.46,1,-1.90504,-12.169248,False,0.055446,2025-04-23 04:48:00,2025-04-23,0,0,1
BTC,93535.0,0.05937,5553.17,0,-1.89907,0.0,True,1.94361,2025-04-23 05:00:00,2025-04-23,-1,0,1
BTC,93557.0,0.01533,1434.23,0,-1.95844,0.0,True,0.50198,2025-04-23 05:00:00,2025-04-23,-1,0,1
BTC,93557.0,0.00538,503.34,0,-1.97377,0.0,True,0.176167,2025-04-23 05:00:00,2025-04-23,-1,0,1
BTC,93557.0,0.03866,3616.91,0,-1.97915,0.0,True,1.265919,2025-04-23 05:00:00,2025-04-23,-1,0,1
BTC,93587.0,0.05936,5555.32,0,-2.01781,0.0,True,1.944363,2025-04-23 05:00:00,2025-04-23,-1,0,1
BTC,93581.0,0.05935,5554.03,0,-2.07717,0.0,True,1.943911,2025-04-23 05:00:00,2025-04-23,-1,0,1
BTC,93500.0,0.00593,554.46,1,-2.13652,-13.995986,False,0.055445,2025-04-23 05:14:00,2025-04-23,0,0,1
BTC,93475.0,0.00593,554.31,1,-2.13059,-13.847736,False,0.05543,2025-04-23 05:14:00,2025-04-23,0,0,1
BTC,93450.0,0.00593,554.16,1,-2.12466,-13.699486,False,0.055415,2025-04-23 05:15:00,2025-04-23,0,0,1
BTC,93425.0,0.00594,554.94,1,-2.11873,-13.574088,False,0.055494,2025-04-23 05:15:00,2025-04-23,0,0,1
BTC,93500.0,0.00012,11.22,1,-2.11279,-0.283224,False,0.001122,2025-04-23 05:22:00,2025-04-23,0,0,1
BTC,93500.0,0.00581,543.24,1,-2.11267,-13.712762,False,0.054323,2025-04-23 05:22:00,2025-04-23,0,0,1
BTC,93475.0,0.00198,185.08,1,-2.10686,-4.623696,False,0.018508,2025-04-23 05:23:00,2025-04-23,0,0,1
BTC,93475.0,0.00013,12.15,1,-2.10488,-0.303576,False,0.001215,2025-04-23 05:23:00,2025-04-23,0,0,1
BTC,93475.0,0.00122,114.04,1,-2.10475,-2.848944,False,0.011403,2025-04-23 05:23:00,2025-04-23,0,0,1
BTC,93475.0,0.0026,243.03,1,-2.10353,-6.07152,False,0.024303,2025-04-23 05:23:00,2025-04-23,0,0,1
BTC,93450.0,0.00593,554.16,1,-2.10093,-13.699486,False,0.055415,2025-04-23 05:24:00,2025-04-23,0,0,1
BTC,93425.0,0.00594,554.94,1,-2.095,-13.574088,False,0.055494,2025-04-23 05:24:00,2025-04-23,0,0,1
BTC,93400.0,0.00594,554.8,1,-2.08906,-13.425588,False,0.055479,2025-04-23 05:24:00,2025-04-23,0,0,1
BTC,93375.0,0.00594,554.65,1,-2.08312,-13.277088,False,0.055464,2025-04-23 05:24:00,2025-04-23,0,0,1
BTC,93375.0,0.00594,554.65,1,-2.07718,-13.277088,False,0.055464,2025-04-23 05:42:00,2025-04-23,0,0,1
BTC,93550.0,0.00593,554.75,1,-2.07124,-14.292486,False,0.055475,2025-04-23 05:55:00,2025-04-23,0,0,1
BTC,93525.0,0.00593,554.6,1,-2.06531,-14.144236,False,0.05546,2025-04-23 05:55:00,2025-04-23,0,0,1
BTC,93500.0,0.00593,554.46,1,-2.05938,-13.995986,False,0.055445,2025-04-23 05:55:00,2025-04-23,0,0,1
BTC,93475.0,0.00593,554.31,1,-2.05345,-13.847736,False,0.05543,2025-04-23 05:55:00,2025-04-23,0,0,1
BTC,93450.0,0.00593,554.16,1,-2.04752,-13.699486,False,0.055415,2025-04-23 05:55:00,2025-04-23,0,0,1
BTC,93425.0,0.00025,23.36,1,-2.04159,-0.5713,False,0.002335,2025-04-23 05:55:00,2025-04-23,0,0,1
BTC,93425.0,0.00013,12.15,1,-2.04134,-0.297076,False,0.001214,2025-04-23 05:55:00,2025-04-23,0,0,1
BTC,93425.0,0.00556,519.44,1,-2.04121,-12.705712,False,0.051944,2025-04-23 05:55:00,2025-04-23,0,0,1
BTC,93400.0,0.00594,554.8,1,-2.03565,-13.425588,False,0.055479,2025-04-23 05:55:00,2025-04-23,0,0,1
BTC,93375.0,0.00594,554.65,1,-2.02971,-13.277088,False,0.055464,2025-04-23 05:56:00,2025-04-23,0,0,1
BTC,93350.0,0.0023,214.7,1,-2.02377,-5.08346,False,0.02147,2025-04-23 05:56:00,2025-04-23,0,0,1
BTC,93350.0,0.00364,339.79,1,-2.02147,-8.045128,False,0.033979,2025-04-23 05:56:00,2025-04-23,0,0,1
BTC,93325.0,0.0056,522.62,1,-2.01783,-12.23712,False,0.052262,2025-04-23 05:57:00,2025-04-23,0,0,1
BTC,93325.0,0.00034,31.73,1,-2.01223,-0.742968,False,0.003173,2025-04-23 05:57:00,2025-04-23,0,0,1
BTC,93300.0,0.00594,554.2,1,-2.01189,-12.831588,False,0.05542,2025-04-23 05:57:00,2025-04-23,0,0,1
BTC,93275.0,0.00595,554.99,1,-2.00595,-12.70444,False,0.055498,2025-04-23 05:57:00,2025-04-23,0,0,1
BTC,93250.0,0.00595,554.84,1,-2.0,-12.55569,False,0.055483,2025-04-23 05:57:00,2025-04-23,0,0,1
BTC,93225.0,0.00595,554.69,1,-1.99405,-12.40694,False,0.055468,2025-04-23 06:00:00,2025-04-23,0,0,1
BTC,93200.0,0.00595,554.54,1,-1.9881,-12.25819,False,0.055454,2025-04-23 06:00:00,2025-04-23,0,0,1
BTC,93175.0,0.00595,554.39,1,-1.98215,-12.10944,False,0.055439,2025-04-23 06:02:00,2025-04-23,0,0,1
BTC,93150.0,0.00595,554.24,1,-1.9762,-11.96069,False,0.055424,2025-04-23 06:03:00,2025-04-23,0,0,1
BTC,93125.0,0.00595,554.09,1,-1.97025,-11.81194,False,0.055409,2025-04-23 06:11:00,2025-04-23,0,0,1
BTC,93100.0,0.00391,364.02,1,-1.9643,-7.664382,False,0.036402,2025-04-23 06:11:00,2025-04-23,0,0,1
BTC,93100.0,0.00013,12.1,1,-1.96039,-0.254826,False,0.00121,2025-04-23 06:11:00,2025-04-23,0,0,1
BTC,93100.0,0.00036,33.52,1,-1.96026,-0.705672,False,0.003351,2025-04-23 06:11:00,2025-04-23,0,0,1
BTC,93100.0,0.00156,145.24,1,-1.9599,-3.057912,False,0.014523,2025-04-23 06:11:00,2025-04-23,0,0,1
BTC,93075.0,0.00025,23.27,1,-1.95834,-0.4838,False,0.002326,2025-04-23 06:13:00,2025-04-23,0,0,1
